model_key,model_name,model_path,ic,hit_rate,sharpe,gated_sharpe,gated_hit,rmse,mae,r2
pca_ridge,PCA + Ridge,/Users/alexandredelattre/ML_POC/ml-poc-project/models/pca_ridge.joblib,0.016126,0.480702,0.087158,0.146771,0.472417,0.037446,0.029962,-0.092571
ridge,Ridge Regression,/Users/alexandredelattre/ML_POC/ml-poc-project/models/ridge.joblib,-0.036504,0.465664,-0.085443,-0.194926,0.44333,0.039427,0.031576,-0.211185
random_forest,Random Forest,/Users/alexandredelattre/ML_POC/ml-poc-project/models/random_forest.joblib,0.197815,0.589975,0.577744,0.520253,0.573721,0.035647,0.027816,0.009898
xgboost,XGBoost,/Users/alexandredelattre/ML_POC/ml-poc-project/models/xgboost.joblib,-0.026897,0.509273,0.168019,-0.043731,0.46339,0.036683,0.028826,-0.048448
ensemble,Stacking Ensemble,/Users/alexandredelattre/ML_POC/ml-poc-project/models/ensemble.joblib,0.062438,0.471178,-0.05683,0.34587,0.522568,0.036541,0.028741,-0.04035
